suite,instance,path,method,primal_dual_integral,n_primal_dual_integral,gap,n_gap,solving_time,n_solving_time
cie_core_nominal,cie_core_n008_f008_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc100.lp,proposed[full],0.0,2,0.0,2,0.4225882999962778,2
cie_core_nominal,cie_core_n008_f008_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc100.lp,proposed[linear_off],1.3114749962141987,2,0.0,2,0.4703534000000218,2
cie_core_nominal,cie_core_n008_f008_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc100.lp,proposed[stage2_off],1.9672131147540983,2,0.0,2,0.39613715000086813,2
cie_core_nominal,cie_core_n016_f016_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc100.lp,proposed[full],0.0,2,0.0,2,0.2925357999993139,2
cie_core_nominal,cie_core_n016_f016_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc100.lp,proposed[linear_off],50.0,2,0.0,2,0.5124500000019907,2
cie_core_nominal,cie_core_n016_f016_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc100.lp,proposed[stage2_off],0.0,2,0.0,2,0.32023545000265585,2
cie_core_nominal,cie_core_n024_f024_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc100.lp,proposed[full],200.0,2,0.0,2,2.445665299997927,2
cie_core_nominal,cie_core_n024_f024_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc100.lp,proposed[linear_off],328.5382824691099,2,0.0,2,3.837231249999604,2
cie_core_nominal,cie_core_n024_f024_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc100.lp,proposed[stage2_off],350.0,2,0.0,2,3.336211049998383,2
cie_core_nominal,cie_core_n032_f032_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n032_f032_m000_proc100.lp,proposed[full],743.4962814070352,2,0.0,2,7.599410350001563,2
cie_core_nominal,cie_core_n032_f032_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n032_f032_m000_proc100.lp,proposed[linear_off],1132.6611130074548,2,0.0,2,12.310162650006532,2
cie_core_nominal,cie_core_n032_f032_m000_proc100.lp,D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n032_f032_m000_proc100.lp,proposed[stage2_off],1042.28,2,0.0,2,10.39801274999627,2
