train 1th process seed,train 2th process seed,evaluate 1th process seed,evaluate 2th process seed,training_highlevel_policy/Neg Reward Mean,training_highlevel_policy/Neg Reward Std,training_highlevel_policy/Neg Reward Max,training_highlevel_policy/Neg Reward Min,training_highlevel_policy/Neg Advantage,training_highlevel_policy/logprobs Mean,training_highlevel_policy/logprobs Std,training_highlevel_policy/logprobs Max,training_highlevel_policy/logprobs Min,training_highlevel_policy/cut_percent_actions Mean,training_highlevel_policy/cut_percent_actions Std,training_highlevel_policy/cut_percent_actions Max,training_highlevel_policy/cut_percent_actions Min,training_highlevel_policy/reinforce loss,training_highlevel_policy/Critic Value,training_highlevel_policypre_log_prob Mean,training_highlevel_policypre_log_prob Std,training_highlevel_policypre_log_prob Max,training_highlevel_policypre_log_prob Min,training_highlevel_policymean Mean,training_highlevel_policymean Std,training_highlevel_policymean Max,training_highlevel_policymean Min,training_highlevel_policystd Mean,training_highlevel_policystd Std,training_highlevel_policystd Max,training_highlevel_policystd Min,training_highlevel_policyentropy Mean,training_highlevel_policyentropy Std,training_highlevel_policyentropy Max,training_highlevel_policyentropy Min,pos_1_entropy,Epoch,training/Neg Reward Mean,training/Neg Reward Std,training/Neg Reward Max,training/Neg Reward Min,training/Neg Advantage,training/logprobs Mean,training/logprobs Std,training/logprobs Max,training/logprobs Min,training/raw_logprobs Mean,training/raw_logprobs Std,training/raw_logprobs Max,training/raw_logprobs Min,training/reinforce loss,training/Critic Value,training/len cuts Mean,training/len cuts Std,training/len cuts Max,training/len cuts Min,training/cut 1 th feature Mean,training/cut 1 th feature Std,training/cut 1 th feature Max,training/cut 1 th feature Min,training/cut 2 th feature Mean,training/cut 2 th feature Std,training/cut 2 th feature Max,training/cut 2 th feature Min,training/cut 3 th feature Mean,training/cut 3 th feature Std,training/cut 3 th feature Max,training/cut 3 th feature Min,training/cut 4 th feature Mean,training/cut 4 th feature Std,training/cut 4 th feature Max,training/cut 4 th feature Min,training/cut 5 th feature Mean,training/cut 5 th feature Std,training/cut 5 th feature Max,training/cut 5 th feature Min,training/cut 6 th feature Mean,training/cut 6 th feature Std,training/cut 6 th feature Max,training/cut 6 th feature Min,training/cut 7 th feature Mean,training/cut 7 th feature Std,training/cut 7 th feature Max,training/cut 7 th feature Min,training/cut 8 th feature Mean,training/cut 8 th feature Std,training/cut 8 th feature Max,training/cut 8 th feature Min,training/cut 9 th feature Mean,training/cut 9 th feature Std,training/cut 9 th feature Max,training/cut 9 th feature Min,training/cut 10 th feature Mean,training/cut 10 th feature Std,training/cut 10 th feature Max,training/cut 10 th feature Min,training/cut 11 th feature Mean,training/cut 11 th feature Std,training/cut 11 th feature Max,training/cut 11 th feature Min,training/cut 12 th feature Mean,training/cut 12 th feature Std,training/cut 12 th feature Max,training/cut 12 th feature Min,training/cut 13 th feature Mean,training/cut 13 th feature Std,training/cut 13 th feature Max,training/cut 13 th feature Min,training/sel cuts num Mean,training/sel cuts num Std,training/sel cuts num Max,training/sel cuts num Min,training/solving_time Mean,training/solving_time Std,training/solving_time Max,training/solving_time Min,training/ntotal_nodes Mean,training/ntotal_nodes Std,training/ntotal_nodes Max,training/ntotal_nodes Min,training/primal_dual_gap Mean,training/primal_dual_gap Std,training/primal_dual_gap Max,training/primal_dual_gap Min,training/primaldualintegral Mean,training/primaldualintegral Std,training/primaldualintegral Max,training/primaldualintegral Min,training/schedule_wait_penalty Mean,training/schedule_wait_penalty Std,training/schedule_wait_penalty Max,training/schedule_wait_penalty Min,time/evaluating (s),time/online_testing (s),time/sampling data (s),time/training (s),time/epoch (s),time/total (s)
717354021,1061650667,946286476,784077896,514.2857142857143,432.3641700120445,1300.0,0.0,8.71930842549773e-06,-0.51510346,0.35489386,-0.11473608,-0.9365784,-0.5691580453089305,0.39355964525899595,-0.018906623125076294,-0.9477216005325317,-110.00910949707031,514.2857142857143,-1.5536248939377921,0.585469152070472,-0.9358011484146118,-2.399238109588623,-0.06908339687756129,0.0010309286610238803,-0.06783081591129303,-0.0713859274983406,1.0165407827922277,0.0007240700959947766,1.0176702737808228,1.0155819654464722,1.435343759400504,0.00071233742544701,1.4364545345306396,1.4344003200531006,4.859409332275391,1,514.2857142857143,432.3641700120445,1300.0,0.0,8.71930842549773e-06,-4.8049617,0.015679572,-4.7919602,-4.8331637,-67.90925,14.4607,-38.66531,-76.78801,1.2453804016113281,514.2857142857143,128.0,0.0,128,128,0.00012717953123197299,0.0014788890838870305,0.02701716134791496,0.0,2.8746612974677928,5.102343505253156,22.498611289689446,0.7019444619732739,0.010782689223446539,0.008664498171055659,0.04320960981722335,0.0028409050555325915,0.6108018531146733,0.30503118125519646,0.9374414099118804,0.0,0.8557242567402962,0.24841483172661236,1.2423403198640133,0.04944824067983187,-112.69634968964313,204.65851499677794,88.5,-1349.5,12.531814430902232,37.97103567901509,213.0,-1.0,-296.91294642857144,517.7874926173492,-1.0,-2698.0,117.49065639755686,197.95280657914626,1348.5,0.33449400781347277,0.0006531604993620287,0.00021714613394526502,0.0010976948408342481,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02522532972277446,0.004045920001424379,0.0331132889769448,0.020211300398656703,14.142857142857142,3.0438965360946453,16,8,5.142857142857143,4.323641700120445,13.0,0.0,3372.1428571428573,3883.5386083376306,11862,9,0.0,0.0,0.0,0.0,514.2857142857143,432.3641700120445,1300.0,0.0,19.298096791111195,9.970919659292424,37.2398,0.041800000000000004,1.5999976312741637e-06,0.000556800005142577,34.463368699995044,1.1995022999981302,35.66342939999595,35.66356039999664
491263,550290313,224766667,1069620869,514.2857142857143,432.3641700120445,1300.0,0.0,8.71930842549773e-06,-0.51510346,0.35489386,-0.11473608,-0.9365784,-0.5691580453089305,0.39355964525899595,-0.018906623125076294,-0.9477216005325317,-110.00910949707031,514.2857142857143,-1.5536248939377921,0.585469152070472,-0.9358011484146118,-2.399238109588623,-0.06908339687756129,0.0010309286610238803,-0.06783081591129303,-0.0713859274983406,1.0165407827922277,0.0007240700959947766,1.0176702737808228,1.0155819654464722,1.435343759400504,0.00071233742544701,1.4364545345306396,1.4344003200531006,4.859380722045898,2,376.8909626719057,338.0291903351956,1015.1277013752456,100.0,-123.6552734375,-4.809746,0.013177362,-4.7978244,-4.8394547,-72.11648,12.624815,-38.715637,-77.13756,592.2130126953125,500.54623912433345,128.0,0.0,128,128,0.00013669985870098803,0.0016977886069156538,0.02701716134791496,0.0,3.0914221873286714,5.335573220383093,22.498611289689446,0.9934741878748047,0.009211321095989121,0.007148746300316662,0.03896093776379802,0.0028409050555325915,0.5962801826099053,0.31016854201808314,0.9374414099118804,0.0,0.8315108088672336,0.2694965660708527,1.1086976328971505,0.04944824067983187,-112.68301052646822,169.82964885171015,88.5,-608.25,16.052922977929313,43.613548572778676,213.0,-1.0,-297.8076171875,447.8787951413763,-1.0,-2432.0,117.41314405192155,154.35973296410774,711.5991380920393,0.33449400781347277,0.0006224149437637543,0.00013444748607079906,0.0007524454477050414,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024788106658555825,0.002749406401222546,0.0274204170929851,0.020211300398656703,15.0,2.6457513110645907,16,8,3.875,3.585997071945263,11.0,1.0,1919.5,2418.436271643311,7972,215,0.0,0.0,0.0,0.0,376.8909626719057,338.0291903351956,1015.1277013752456,100.0,21.226241927823793,6.037095913858656,37.13036,18.582300000000004,2.3000029614195228e-06,0.005328100000042468,29.00991349999822,0.8644093000038993,29.879653200005123,65.54612779997842
630311759,1013994432,396591248,629559425,468.8666666666666,304.6852291938172,800.0,0.0,-40.87713623046875,-0.6691888,0.19426392,-0.3913958,-0.9565793,0.2337354669968287,0.6237019497304561,0.9133742451667786,-0.741470217704773,51.47203826904297,509.74380952380955,-1.4048494895299275,0.4093687265574834,-0.9972803592681885,-2.1886796951293945,-0.08451017737388611,0.0017439692200639323,-0.08255381137132645,-0.08678898215293884,1.0394976536432903,0.0008456365438289469,1.0405094623565674,1.0384396314620972,1.4576757351557414,0.0008135012668117259,1.458648920059204,1.4566577672958374,4.858998775482178,3,468.8666666666666,304.6852291938172,800.0,0.0,-28.511627197265625,-4.795954,0.007161467,-4.7851424,-4.8094764,-76.73527,0.11458347,-76.56228,-76.95162,137.0635528564453,497.3782818785668,128.0,0.0,128,128,0.00011553908622099134,0.0011226106950569755,0.016126934718260072,0.0,2.844104457607846,5.08201071688625,22.498611289689446,0.7019444619732739,0.013202968113635338,0.009933392715684157,0.04320960981722335,0.0028409050555325915,0.6336167626988402,0.30447683327870706,0.9374414099118804,0.0,0.8947888285724211,0.20137259659136705,1.2423403198640133,0.051105174559028015,-120.82046153030619,248.72745929190967,88.5,-1349.5,9.094320398495684,30.326204673825483,178.0,-1.0,-326.4375,625.448044613153,-1.0,-2698.0,126.21754569485472,248.41867952024526,1348.5,0.33449400781347277,0.0006755499579324582,0.00030196016525533615,0.0010976948408342481,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025376183624961562,0.0055724065606905845,0.0331132889769448,0.020211300398656703,16.0,0.0,16,16,4.833333333333333,3.131382371342656,8.0,0.0,2835.6666666666665,2019.4642578884354,4909,27,0.0,0.0,0.0,0.0,468.8666666666666,304.6852291938172,800.0,0.0,19.026150339782372,15.16339526756409,37.151160000000004,0.03424000000000001,1.400003384333104e-06,0.008164699996996205,25.91977290000068,0.7716891000018222,26.699628100002883,92.24841299997934
799981516,592322119,410430189,729053692,468.8666666666666,304.6852291938172,800.0,0.0,-40.87713623046875,-0.6691888,0.19426392,-0.3913958,-0.9565793,0.2337354669968287,0.6237019497304561,0.9133742451667786,-0.741470217704773,51.47203826904297,509.74380952380955,-1.4048494895299275,0.4093687265574834,-0.9972803592681885,-2.1886796951293945,-0.08451017737388611,0.0017439692200639323,-0.08255381137132645,-0.08678898215293884,1.0394976536432903,0.0008456365438289469,1.0405094623565674,1.0384396314620972,1.4576757351557414,0.0008135012668117259,1.458648920059204,1.4566577672958374,4.858865737915039,4,273.73094898665806,178.9320183387603,600.0,100.0,-201.2825927734375,-4.814568,0.027105503,-4.7889295,-4.8732314,-67.28663,21.37427,-19.492926,-76.97327,970.0015258789062,475.0135485893759,128.0,0.0,128,128,0.00013590986499020924,0.0016976686046106246,0.02701716134791496,0.0,2.8975789273627526,5.117420343960584,22.498611289689443,0.9934741878748047,0.008967480055804939,0.0070488410457593305,0.03896093776379802,0.002915447645120051,0.5936906709265481,0.3043258920276884,0.9332711152589828,0.0,0.8264258278662027,0.2749113576788146,1.1086976328971505,0.04944824067983187,-106.60326580914584,163.74767253542944,88.5,-585.5,15.109934955207143,42.63661825996269,213.0,-1.0,-274.76953125,417.90998489854877,-1.0,-1566.0,110.94548942458346,148.96462817640722,584.5,0.33449400781347277,0.0006363684054342065,0.0001160770422708349,0.0007524454477050414,0.0005202913631633715,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025112189296134135,0.002308227796850965,0.0274204170929851,0.02280396149928317,14.0,4.47213595499958,16,4,3.1666666666666665,1.8633899812498247,6.0,1.0,1112.0,832.7588686608707,2817,357,0.0,0.0,0.0,0.0,273.73094898665806,178.9320183387603,600.0,100.0,19.48316689813877,0.9020999262939523,20.4862,18.582300000000004,1.2999953469261527e-06,0.0054199999940465204,14.162374999999884,0.6518886999983806,14.819684999987658,107.0706010999711
630361478,796884249,166716594,413652244,360.2334053926376,272.46477262361583,734.6213292117466,100.0,-134.55935668945312,-0.64108235,0.38137707,-0.0046510696,-0.96858114,0.07025930285453796,0.6403528838398711,0.7056792974472046,-0.9855490326881409,182.14520263671875,494.79276911069235,-1.752828985452652,1.0507581499781218,-0.9917420148849487,-3.555715560913086,-0.07601470686495304,0.0005027571232656291,-0.07561870664358139,-0.07684876769781113,1.0482915043830872,0.0013586627150839407,1.050177812576294,1.0463361740112305,1.4660993814468384,0.0012961175460661498,1.4678980112075806,1.4642332792282104,4.858975887298584,5,360.2334053926376,272.46477262361583,734.6213292117466,100.0,-103.30211639404297,-4.8017936,0.017006095,-4.7886815,-4.830742,-68.40645,8.432783,-57.9689,-76.754486,492.77459716796875,463.53553426970205,128.0,0.0,128,128,0.00015180576544067986,0.0015428613232946456,0.02701716134791496,0.0,2.444824822326015,4.552345400841864,22.498611289689443,0.7019444619732739,0.0121387658250612,0.00965501813699896,0.04320960981722335,0.002915447645120051,0.6133642938220278,0.2900301663557501,0.9332711152589828,0.0,0.8521176811648585,0.25093069581091065,1.2423403198640133,0.04944824067983187,-109.97265529376978,222.15270907329105,88.5,-1349.5,10.062960888344529,34.41919842265571,213.0,-1.0,-279.63671875,536.5244388613471,-1.0,-2698.0,116.14506395537798,223.01453619525424,1348.5,0.33449400781347277,0.0007226807537165081,0.00023634954694367566,0.0010976948408342481,0.0005202913631633715,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02653540726712406,0.004239668183270365,0.0331132889769448,0.02280396149928317,14.25,1.7853571071357126,16,12,4.0,3.082207001484488,8.0,1.0,2049.25,1890.7464630404575,4607,9,0.0,0.0,0.0,0.0,360.2334053926376,272.46477262361583,734.6213292117466,100.0,14.105884888379975,8.125352144162859,18.93257416486803,0.03424000000000001,1.500004145782441e-06,0.005209599999943748,16.23859749999974,0.6166386000040802,16.86044720000791,123.93351939997228
726684926,271757669,795511698,105433556,360.2334053926376,272.46477262361583,734.6213292117466,100.0,-134.55935668945312,-0.64108235,0.38137707,-0.0046510696,-0.96858114,0.07025930285453796,0.6403528838398711,0.7056792974472046,-0.9855490326881409,182.14520263671875,494.79276911069235,-1.752828985452652,1.0507581499781218,-0.9917420148849487,-3.555715560913086,-0.07601470686495304,0.0005027571232656291,-0.07561870664358139,-0.07684876769781113,1.0482915043830872,0.0013586627150839407,1.050177812576294,1.0463361740112305,1.4660993814468384,0.0012961175460661498,1.4678980112075806,1.4642332792282104,4.858835220336914,6,360.7389162561576,277.7058108191329,800.0,0.0,-92.5169448852539,-4.7989097,0.009256597,-4.786716,-4.8136377,-76.782555,0.14810555,-76.587456,-77.0182,444.49627685546875,453.2558724683476,128.0,0.0,128,128,0.00012717953123197299,0.0014788890838870305,0.02701716134791496,0.0,2.8746612974677928,5.102343505253156,22.498611289689446,0.7019444619732739,0.010782689223446539,0.008664498171055659,0.04320960981722335,0.0028409050555325915,0.6108018531146733,0.30503118125519646,0.9374414099118804,0.0,0.8557242567402963,0.24841483172661236,1.2423403198640133,0.04944824067983187,-112.69634968964313,204.65851499677794,88.5,-1349.5,12.53181443090223,37.971035679015095,213.0,-1.0,-296.91294642857144,517.7874926173492,-1.0,-2698.0,117.49065639755688,197.95280657914628,1348.5,0.33449400781347277,0.0006531604993620285,0.00021714613394526497,0.0010976948408342481,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02522532972277446,0.004045920001424379,0.0331132889769448,0.020211300398656703,16.0,0.0,16,16,3.7142857142857144,2.813959371941744,8.0,0.0,1791.857142857143,1553.3047193066814,4494,23,0.0,0.0,0.0,0.0,360.7389162561576,277.7058108191329,800.0,0.0,19.140482380237557,10.340708708863335,38.67449584030507,0.041800000000000004,1.7999991541728377e-06,0.007734999999229331,25.015999099996407,0.7870745999971405,25.81081049999193,149.7468963999636
878115723,830873852,550260202,986026652,325.0670517202664,259.29878421050716,700.0,0.0,-152.75314331054688,-0.62553763,0.3268321,-0.017828941,-0.9426673,-0.20417919754981995,0.6143238425814218,0.6316118240356445,-0.9764195680618286,160.2000732421875,477.8201973716497,-1.5007278521855671,0.7263347751854825,-1.0108526945114136,-3.0838589668273926,-0.06871006141106288,0.0002239637654213207,-0.06853190064430237,-0.06902393698692322,1.0426408251126607,0.0011209587997231601,1.044036626815796,1.0408155918121338,1.460694670677185,0.0010751473135707536,1.4620330333709717,1.4589431285858154,4.858863830566406,7,325.0670517202664,259.29878421050716,700.0,0.0,-115.36993408203125,-4.8020577,0.02430201,-4.7804976,-4.8536873,-68.74343,17.719606,-29.122124,-76.857796,554.7214965820312,440.4369903935395,128.0,0.0,128,128,0.00011448576127328631,0.0011223487129027516,0.016126934718260072,0.0,2.5856467776532885,4.758342465166929,22.498611289689446,0.7019444619732739,0.012877846726723092,0.009967456365088993,0.04320960981722335,0.0028409050555325915,0.6301640804543639,0.296940987254725,0.9374414099118804,0.0,0.8880088539043799,0.21290361980847458,1.2423403198640133,0.051105174559028015,-112.71413524054299,243.46616065188834,88.5,-1349.5,7.837003034866119,28.096938110678675,178.0,-1.0,-295.7200520833333,598.4251780837606,-1.0,-2698.0,117.59400619173725,244.26040114921682,1348.5,0.33449400781347277,0.000694154573493061,0.00028806243494008135,0.0010976948408342481,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025808293808399305,0.005246114148021775,0.0331132889769448,0.020211300398656703,14.333333333333334,3.726779962499649,16,6,3.5,2.753785273643051,7.0,0.0,1321.6666666666667,1345.9008961369416,3954,9,0.0,0.0,0.0,0.0,325.0670517202664,259.29878421050716,700.0,0.0,16.00147516036699,12.91993825040254,37.287006980084534,0.03424000000000001,1.400003384333104e-06,0.007803200001944788,15.965648400000646,0.7108928000016022,16.684345800007577,166.4339100999714
117628829,147806606,732152370,704211524,325.0670517202664,259.29878421050716,700.0,0.0,-152.75314331054688,-0.62553763,0.3268321,-0.017828941,-0.9426673,-0.20417919754981995,0.6143238425814218,0.6316118240356445,-0.9764195680618286,160.2000732421875,477.8201973716497,-1.5007278521855671,0.7263347751854825,-1.0108526945114136,-3.0838589668273926,-0.06871006141106288,0.0002239637654213207,-0.06853190064430237,-0.06902393698692322,1.0426408251126607,0.0011209587997231601,1.044036626815796,1.0408155918121338,1.460694670677185,0.0010751473135707536,1.4620330333709717,1.4589431285858154,4.858945846557617,8,381.2624584717608,299.4275764595541,800.0,0.0,-53.257076263427734,-4.820569,0.027303431,-4.7998633,-4.874212,-62.506462,28.816242,-4.874212,-77.02005,256.32720947265625,434.5195372013616,128.0,0.0,128,128,0.0001236873977286785,0.001381696034769101,0.02701716134791496,0.0,2.865494245509809,5.096271424402395,22.498611289689446,0.7019444619732739,0.011508772890503177,0.00913144483216553,0.04320960981722335,0.0028409050555325915,0.6176463259899234,0.30504420482685346,0.9374414099118804,0.0,0.8674436282899338,0.23597181059361172,1.2423403198640133,0.04944824067983187,-115.13358324184205,218.84478605805293,88.5,-1349.5,11.500566221180268,35.88376692946752,213.0,-1.0,-305.7703125,552.4593695975772,-1.0,-2698.0,120.10872318674622,214.38112078375013,1348.5,0.33449400781347277,0.0006598773369331575,0.0002458982783816056,0.0010976948408342481,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025270585893430585,0.004558390228227,0.0331132889769448,0.020211300398656703,13.0,6.0,16,1,4.0,3.03315017762062,8.0,0.0,1785.4,1377.5193065797662,3468,58,0.0,0.0,0.0,0.0,381.2624584717608,299.4275764595541,800.0,0.0,19.356171281569264,11.869547687372869,37.4912736087666,0.041800000000000004,1.500004145782441e-06,0.005262099999526981,15.036163699995086,0.5590165999965393,15.600443899995298,182.036865199967
718568663,889937879,252070889,776094449,628.9206656422027,299.8767205369751,1015.1277013752456,100.0,135.99041748046875,-0.56081116,0.3030076,-0.103667974,-0.9289261,-0.04355990141630173,0.711198996081736,0.9375768303871155,-0.9465994238853455,-77.476806640625,492.93024419870505,-1.5650537610054016,0.5471458962142953,-0.9553643465042114,-2.437729835510254,-0.06098387576639652,0.0004306636387948764,-0.060616858303546906,-0.061902813613414764,1.0314489305019379,0.0005936165266523924,1.0320103168487549,1.0304149389266968,1.449902892112732,0.0005755925462896748,1.4504472017288208,1.4489001035690308,4.858592510223389,9,628.9206656422027,299.8767205369751,1015.1277013752456,100.0,174.96099853515625,-4.803216,0.0132661415,-4.7755003,-4.8207417,-76.851456,0.21225826,-76.408005,-77.13187,-839.7403564453125,453.9596500454457,128.0,0.0,128,128,4.001793027572081e-05,0.0008530556113651305,0.02701716134791496,0.0,3.5539939056266707,5.811594388394844,22.498611289689446,0.9934741878748047,0.008251947757602001,0.005878103773446324,0.03896093776379802,0.0028409050555325915,0.6167349736776944,0.33077912946988186,0.9374414099118804,0.0,0.8879120765561339,0.21936265956923212,1.1086976328971505,0.04944824067983187,-110.24455357591762,179.6524044368607,88.5,-608.25,13.886760335027677,38.00771998442203,213.0,-1.0,-307.306640625,497.66586206851895,-1.0,-2432.0,110.30592855829597,154.5537745644919,711.5991380920393,0.33449400781347277,0.000507450238719724,0.00010604161266373673,0.0007524454477050414,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022408770535760986,0.0022424297596449383,0.0274204170929851,0.020211300398656703,16.0,0.0,16,16,6.5,3.082207001484488,11.0,1.0,3486.5,2132.4182868283606,6694,228,0.0,0.0,0.0,0.0,628.9206656422027,299.8767205369751,1015.1277013752456,100.0,26.251479776768903,8.488992116054622,37.28191651690484,18.582300000000004,1.3000026228837669e-06,0.004943600004480686,34.55578959999548,1.0164896999995108,35.57722420000209,217.6166859999721
602957303,812297694,850839392,121930838,628.9206656422027,299.8767205369751,1015.1277013752456,100.0,135.99041748046875,-0.56081116,0.3030076,-0.103667974,-0.9289261,-0.04355990141630173,0.711198996081736,0.9375768303871155,-0.9465994238853455,-77.476806640625,492.93024419870505,-1.5650537610054016,0.5471458962142953,-0.9553643465042114,-2.437729835510254,-0.06098387576639652,0.0004306636387948764,-0.060616858303546906,-0.061902813613414764,1.0314489305019379,0.0005936165266523924,1.0320103168487549,1.0304149389266968,1.449902892112732,0.0005755925462896748,1.4504472017288208,1.4489001035690308,4.858516216278076,10,587.2115978052265,163.62852481469602,800.0,400.0,119.92674255371094,-4.801818,0.018670434,-4.772976,-4.829166,-73.60964,7.0068436,-57.94999,-76.96926,-576.7230834960938,467.28484482142375,128.0,0.0,128,128,8.053952037558005e-06,7.410906914326802e-05,0.000721018013948382,0.0,3.7727988983813106,6.0093266085825805,22.498611289689446,0.995254288531368,0.008013436991534357,0.005411087603888646,0.02272724044426073,0.0028409050555325915,0.6244164079280766,0.33879050962074275,0.9374414099118804,0.0,0.908407492786111,0.19310006562665732,1.0513257006823604,0.051105174559028015,-111.45831616484155,184.63384195351256,88.5,-608.25,13.479035461634522,36.32478961692942,178.0,-1.0,-318.15234375,521.0965791099878,-1.0,-2432.0,110.0927416028668,156.3718549874586,711.5991380920393,0.33449400781347277,0.0004644775164815633,5.5813846681808366e-05,0.0005202913631633715,0.0004086636697997548,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02150763094896994,0.0012963305503132345,0.02280396149928317,0.020211300398656703,15.333333333333334,1.4907119849998596,16,12,6.166666666666667,1.4624940645653537,8.0,4.0,3098.3333333333335,1292.5598202361425,4732,1133,0.0,0.0,0.0,0.0,587.2115978052265,163.62852481469602,800.0,400.0,28.280381045586896,8.915451039876963,37.240103401355746,18.871099483510854,1.4999968698248267e-06,0.005526699998881668,28.59345239999675,0.7366337999992538,29.335614399991755,246.95478409996576
