method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,62,1.0,0.62,222.33631881399975,258.1466706584829,21.64647265000076,30.498893629445806,222.48741718400007,0.0,39262.66,1.2718164132059742,1.67350727673979,0.0,16854.868058041207,20019.281856433987,1602.2518589210963,4580.929611984999,4579.441548708391,1235.000001,473.2374755189999,2145.819999990002,265.09499989500046,0.13325018589793575,21.34000004500016,1.2237022912262248,1.2049199980635663,1.0000338814363485,1.0434715793517755,1.498665510286633,1.376239359084027
hem,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,60,1.0,0.6,224.66699618700005,259.092885852299,34.54409510000096,32.15890996195011,224.815033631,0.03623066300007082,37012.3,1.3806785460712125,1.7081662486577385,0.0,17432.791955250443,20230.384214524554,2418.183314856477,4826.399580439998,4671.601358049605,1235.000001,488.78161673100004,2167.8200000400025,263.8899998899999,0.1333039404089211,19.90000010999922,1.1041538680432483,0.901474668535641,1.0000032012546036,0.9530174537004426,1.3064661532897799,1.2334578017972595
hem_beam,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,60,1.0,0.6,224.56718202699994,259.1520142169908,34.567084199999954,32.02880167265652,224.7331965180001,0.052425053000024494,37284.53,1.3782583510128095,1.7055505728769464,0.0,17427.865831772484,20225.64663429173,2444.321707185483,4826.399580439998,4671.601358049605,1235.000001,488.694949779,2167.8200000400025,263.8899998899999,0.1333039404089211,19.90000010999922,1.098345188907527,0.9155982479807283,0.999909857451142,0.9441809044263759,1.2995752110914933,1.2456326977059606
hem_structure,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,62,1.0,0.62,220.95492787400002,256.9081413349734,36.64102775000083,31.511463005281705,221.10801570999973,0.044290940999901524,36644.92,1.2709152391509264,1.674372877125863,0.0,16861.349027322318,19882.9863560589,2590.1910661702923,4578.669611976999,4580.677862482062,1235.000001,471.851747304,2165.7499999900015,267.36999990500044,0.13153198567827443,21.220000079999163,1.3089161341046107,2.185242998430629,0.9999449077919695,0.9730405331878969,1.8120484531491678,1.903693905298303
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,63,1.0,0.63,219.46685310600031,256.2133100113535,33.11142095000014,31.10997280409577,219.61576668700008,0.06854958700011139,35657.4,1.2320877275721418,1.656773699764794,0.0,16718.56919391068,19817.506267829045,2409.503336474587,4498.339622491999,4545.838826523895,1235.000001,463.75860832800004,2183.5100000300017,268.1299998950004,0.13291658644163307,22.000000089999215,1.3210292031593074,2.194112004962445,0.9999333285130072,0.9744157367268536,1.8134781602906334,1.9217104422698583
rdmct_feature_only,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,63,1.0,0.63,222.27319722100015,258.2118385536156,26.87699154999973,30.583525064410885,222.4245542569999,0.0232707519998479,38989.52,1.2732638358069182,1.677323025102694,0.0,16872.2871813512,20008.416367359732,1960.4472421557793,4578.809611984999,4580.45950412138,1235.000001,466.563141562,2191.559999880006,268.27999991500025,0.14188894476877859,21.22000005999863,1.1514677984416797,0.7879445604721181,0.9999360219950755,1.0202022639107455,1.3212979083087124,1.429034015932482
scip_default,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,64,1.0,0.64,226.05415308399998,254.90859933523572,30.841284449998966,32.66100879868527,226.2062219109998,0.0,44528.3,1.195406682839138,1.6427375861889726,0.0,16919.009859853177,19827.519167130282,2234.402922848457,4416.029633014999,4510.02523916003,1235.000001,463.76343180399994,2136.785000070004,259.0399998850004,0.13199609232709325,23.300000009999625,1.0,0.0,1.0,1.0,1.0,1.0
