path,group,total_wafers,full_wafers,mix_wafers,lp_bytes,variables,binary_variables,integer_variables,continuous_variables,constraints,parse_time_seconds,lp_sha256
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc090.lp,core,16,0,16,1077993,2364,1366,0,998,6627,0.011345599999913247,7ebcaffcd269feae4e35bd63149ada187a3386b6b7ae9d14a1c76851e218f5da
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,core,16,0,16,1077993,2364,1366,0,998,6627,0.011340300000483694,41707a528cf08240e6aa1234b45f08cb84647064c8ded8739ee64162c5fc20de
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc110.lp,core,16,0,16,1077993,2364,1366,0,998,6627,0.011159599999700731,edf3796d5a24f0b4297eaee5d0cea65b530181fa08e5cbbad46ea3a19015e0de
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc090.lp,core,16,4,12,946414,2217,1317,0,900,5659,0.01022110000030807,f5d5ebf801b089de8efae2fe0e5ad1d1837ee5eff0094826bf14f4edf1e232e9
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,core,16,4,12,946414,2217,1317,0,900,5659,0.009950500000741158,f49880cf254e13c09fa810dd656e82bc0a3bbe7b94c38eb635887d1491e49f23
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc110.lp,core,16,4,12,946414,2217,1317,0,900,5659,0.009960200000023178,9d8c4d88b3e46b1aa8ea135d3eeb59ece8a32cdcf0b19543df23a4b099466ab2
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc090.lp,core,16,8,8,1267724,2722,1776,0,946,7137,0.012926800000059302,92609352d40925838f5758dc593e93a444065a55c985ed5c6199f0a3c771b592
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc100.lp,core,16,8,8,1267724,2722,1776,0,946,7137,0.01286179999988235,9b9b31479407e39ad53cb14ba448b2d330baa12cd190737fdf1a40baa49122c9
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc110.lp,core,16,8,8,1267724,2722,1776,0,946,7137,0.013306300000294868,1bca5559bd457b1927b71f31bbcb5310ecd7cd1b13c740a8b1f63fe97adfcc81
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc090.lp,core,16,12,4,1962596,3457,2401,0,1056,10771,0.019187200000487792,7be9693aa815fe501e50bbe687816e5dab0fcee7701562d9554b8c3aa53b7e1a
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc100.lp,core,16,12,4,1962596,3457,2401,0,1056,10771,0.01959660000011354,a9b3da1785529be0f4e54cfe2753b94f8c69913f288cf8ccb357bbe25da72101
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f012_m004_proc110.lp,core,16,12,4,1962596,3457,2401,0,1056,10771,0.019733899999664573,884eee8edca62d60aca449d0c1d21de847024de7bd7735c838dd70d47d9d8fdc
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc090.lp,core,24,0,24,2681922,5507,3745,0,1762,15401,0.027026800000385265,04f9753bb284578c90f5a67dcc5c615ef66f763ad092dfae8980d4ee2188b225
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc100.lp,core,24,0,24,2681922,5507,3745,0,1762,15401,0.027388600000449514,f70a48ddbe385ee4d0601c0c6fdd604e577c73d9678a0715ba2db2d1e85bb5bd
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f000_m024_proc110.lp,core,24,0,24,2681922,5507,3745,0,1762,15401,0.026708700000199315,7ce6b58a1d216bdaee7ff984391f89a93b46ac9ca0a70f402f2bc217da296a36
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc090.lp,core,24,6,18,2911477,6225,4584,0,1641,15642,0.02853510000022652,e3882a488d6c54a54806bdeeb9145d34add77ef768eb6247ee1512a2b8d1aa8a
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc100.lp,core,24,6,18,2911477,6225,4584,0,1641,15642,0.028227099999639904,a0fdfc330bf3a052c49995e6a36cd613c85b956700b74d1a513adf8c09c1d3b0
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f006_m018_proc110.lp,core,24,6,18,2911477,6225,4584,0,1641,15642,0.02928570000040054,d804ad975e39d64404be617ededa0f29788995bf64280e5d81735cc213ca3f9e
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc090.lp,core,24,12,12,3442902,6630,5031,0,1599,18090,0.03305790000013076,aa348816f0726a65d53a0d20069cacb13f47599a4b2a33ea3d82eeffa221a52b
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc100.lp,core,24,12,12,3442902,6630,5031,0,1599,18090,0.033968300000196905,560ba18cd0ea2138c072dac152637a46699da7fa110aeadda0b9180ded8e48b5
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f012_m012_proc110.lp,core,24,12,12,3442902,6630,5031,0,1599,18090,0.03440539999974135,3878512612a28c032ae09834575bbc7f8e007caf09cca948feb62efa425b6bdb
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc090.lp,core,24,18,6,6105791,9362,7500,0,1862,31667,0.05809849999968719,9fd12c5933c896ea8d9aa5b9e73e6d92756c62fa04071709048c5120b5ca5768
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc100.lp,core,24,18,6,6105791,9362,7500,0,1862,31667,0.057798799999545736,323d3331dac3fd4bc4bf492977bdfc89c591c8dad88f20687d9d9cd5f44b3429
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n024_f018_m006_proc110.lp,core,24,18,6,6105791,9362,7500,0,1862,31667,0.058089499999368854,fb28cfd6bb2f9ec434527597271c9f805952318356d3941222cc272a5a31a8d0
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc090.lp,core,32,0,32,4047541,7801,5307,0,2494,23489,0.040427500000078,e13be3caf812291a608c5f5d4e694ff7cd035f4744f09e0e8e9c7e4360913077
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc100.lp,core,32,0,32,4047541,7801,5307,0,2494,23489,0.04098769999927754,f448e598cad5a2ec3dff9671bd4a3553ec1a3dcd06abca8e5eecd438103bdeb1
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f000_m032_proc110.lp,core,32,0,32,4047541,7801,5307,0,2494,23489,0.040001399999709975,eb46acb52deda4fb022c340c268c4c9e68377a620227c7d340c998e1b6313d1d
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc090.lp,core,32,8,24,4061013,8255,6065,0,2190,22161,0.03942339999957767,b964ce8039075982d6997b209e563b9f56e8b56b1ce3fc3c86ac0a41e470e7c8
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc100.lp,core,32,8,24,4061013,8255,6065,0,2190,22161,0.039894599999570346,1a64cd1567189d53115acd8038a562171648615dd75afa6effd99b1dae9b9ec2
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f008_m024_proc110.lp,core,32,8,24,4061013,8255,6065,0,2190,22161,0.039258300000255986,b122979bdc4fc4bac171a11eb43ec03ca0908f5b91aa7d6ac06dbe5a29decf7f
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc090.lp,core,32,16,16,5980418,10499,8273,0,2226,31229,0.05906860000050074,0631a369407a540dee200f3d4c6de5a7506e44df79798784257ff00287814ef4
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc100.lp,core,32,16,16,5980418,10499,8273,0,2226,31229,0.056664599999749043,fddba879ffe40b5d475cd30143d89ede5b2d6e9e8bbe159ddfa6e7e52d6c584f
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f016_m016_proc110.lp,core,32,16,16,5980418,10499,8273,0,2226,31229,0.0576375000000553,0a5b83c88ecf79b58917fdd609fd7ad252f227fde1802999278f7cb3f2dd85a9
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc090.lp,core,32,24,8,10236991,13663,11145,0,2518,53529,0.09500539999953617,b3d8bbc187bdc6bff93deb1943c04478f20d8be1ac0867fd3de5160c3fd41b61
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc100.lp,core,32,24,8,10236991,13663,11145,0,2518,53529,0.09546839999984513,d4b833c2c0115b13ffc3a038c5a0f00016bc90d51319d73ade78c26673ee6cd2
D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n032_f024_m008_proc110.lp,core,32,24,8,10236991,13663,11145,0,2518,53529,0.09758899999997084,3834c7ec6e792eb98b624cad10c29790a48dd126e3f0c355f3baa457d0ccce33
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n040_f010_m030_proc100.lp,ood,40,10,30,7372189,14437,11371,0,3066,38529,0.07044479999967734,3ed143f0dcb5d3599e436222c7d28949c60432994e5cc7c296ed905805975b2a
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n040_f020_m020_proc100.lp,ood,40,20,20,9094901,14556,11676,0,2880,47581,0.08608950000052573,b1cb2b2541e46307d7728374af6e14f655b6a31a6acd3776eca55295a12caf19
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n040_f030_m010_proc100.lp,ood,40,30,10,16827614,18396,15113,0,3283,88928,0.16819779999968887,ac3853bf33085df5cb89b07ca7fe70cc95f1a891f033ebf93f996e06efb52b92
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n048_f012_m036_proc100.lp,ood,48,12,36,9491808,18115,14307,0,3808,50061,0.09202649999951973,21a313bed281cfdc8bda9c617e055e99120e8f47d6a6e541d913bf46f52805e5
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n048_f024_m024_proc100.lp,ood,48,24,24,15008548,23326,19548,0,3778,76839,0.14386199999989913,37b92eebecf389dea264eb084ae4d7b0aca613818bffd281a9a158b6c9909962
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n048_f036_m012_proc100.lp,ood,48,36,12,24260066,23389,19339,0,4050,129223,0.2297270999997636,5f21782fe74cbd8d26a430191bef55f4801849d797ecdedea5192c16200e4f39
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n064_f016_m048_proc100.lp,ood,64,16,48,17343940,31811,26057,0,5754,89953,0.1794067000000723,a83e88f2bb7cd2e2af34cba9262e7185036f42d862ebe5c9a55268ecbc0e3d15
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n064_f032_m032_proc100.lp,ood,64,32,32,25467080,33291,27959,0,5332,132671,0.25522410000030504,0d3545bd7ea96711c763aef50e532943b5b1635f0ec061a40190a506b689eab0
D:\git\git\RDMCT-A3C\cie\data\ood\spbs\cie_ood_n064_f048_m016_proc100.lp,ood,64,48,16,52498971,44323,38135,0,6188,276959,0.5091024000003017,b1c42facd05b1659bf30a24d07ba2a3e178a8434e153e3a0ad106c49d72ef536
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_clean03.lp,sensitivity,24,12,12,4319588,8506,6784,0,1722,21881,0.041618900000685244,67164504166cdbf7c7402f1d1fd0e431397dff28f68224110302cb782aa6e8a9
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_clean10.lp,sensitivity,24,12,12,2700812,5007,3539,0,1468,14819,0.02667509999992035,261d3a19bf0a28c993e2e71269da446a49fe9d71137ae0bd81e050bb315bdc0e
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_motion080.lp,sensitivity,24,12,12,3451976,6630,5031,0,1599,18090,0.03375849999974889,fbd5252a3715345fe417e133dfc9375f91445f9aed3de1e678496e811f5001d2
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_motion120.lp,sensitivity,24,12,12,3452048,6630,5031,0,1599,18090,0.03454799999963143,8c022a5f50505f3744dbed190ef24337847e1fc78adbea8366bfa8d5c7ed481c
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_nominal.lp,sensitivity,24,12,12,3442902,6630,5031,0,1599,18090,0.034395300000142015,560ba18cd0ea2138c072dac152637a46699da7fa110aeadda0b9180ded8e48b5
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_pec10.lp,sensitivity,24,12,12,3655301,7140,5541,0,1599,19022,0.03665779999937513,a95ab6ed8eac9fb5f459b05dc1f202e8e1d7143d349e3d6a9e3939ba0b4fe578
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_process080.lp,sensitivity,24,12,12,3442902,6630,5031,0,1599,18090,0.03494640000008076,e818a3d8706238bc0510a7d4409e369bbe47eceb03b07225a71d46e55416d17b
D:\git\git\RDMCT-A3C\cie\data\sensitivity\spbs\cie_sensitivity_n024_f012_m012_process120.lp,sensitivity,24,12,12,3442902,6630,5031,0,1599,18090,0.03461779999997816,894ec4364c3996e2330d6c61614161f60943341073f9745247d313369651f50d
D:\git\git\RDMCT-A3C\cie\data\validation\pure41\cie_validation_n004_f004_m000_proc100.lp,validation,4,4,0,136427,372,114,0,258,967,0.00165370000013354,cf8cc9ccb4999b1e6b67362323ef5749d6c496ecc70827caf00c74738edcc315
D:\git\git\RDMCT-A3C\cie\data\validation\spbs\cie_validation_n004_f000_m004_proc100.lp,validation,4,0,4,284813,801,469,0,332,1695,0.0030692000000271946,8d62918967461f4db044983c07d576addfd4ca7120a4d9bd12dc0014bd8aeed0
D:\git\git\RDMCT-A3C\cie\data\validation\spbs\cie_validation_n008_f004_m004_proc100.lp,validation,8,4,4,418035,1115,627,0,488,2507,0.004723299999568553,3861a02a6b5addd630fe753d734f3f892ca49e6881c5001096ce20190acbefd9
D:\git\git\RDMCT-A3C\cie\data\validation\spbs\cie_validation_n016_f008_m008_proc100.lp,validation,16,8,8,1267724,2722,1776,0,946,7137,0.013192800000069838,9b9b31479407e39ad53cb14ba448b2d330baa12cd190737fdf1a40baa49122c9
