method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,66,1.0,0.66,213.0623930149999,250.33122956235414,32.096127449999585,30.81828505673734,213.21033129599982,0.06933762700016985,36531.19,1.1601208433763779,1.6315780703318152,0.0,16424.287832027007,19544.74521564347,2248.9265510559267,4331.079643521998,4473.86294939188,1235.0000009999983,437.5425590280001,2159.805000170001,268.2049998950005,0.12653764094881648,22.54000002999914,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,linear_off,100,100,100,62,1.0,0.62,218.8922357569995,256.8401840474311,28.197778649999236,36.52948171479289,219.03771071100044,0.07047778500036657,36100.7,1.3132422807435398,1.6938828718250587,0.0,16730.773004185936,20021.4146982141,1906.9918439553962,2052.999994697771,1358.9431016686924,1234.9999952651378,469.3186136769996,80433.51742342526,9502.9,0.1364684151587455,60.31279514067738,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,stage2_off,100,100,100,67,1.0,0.67,232.97066823700038,276.8296450190537,32.0736335499987,31.637635279371096,233.09723938400018,0.06318907400029275,39232.19,1.1231788837848604,1.6153635041398147,0.0,17962.04918679962,21586.587240301902,2209.719888322616,4248.629653037,4434.548603698153,1234.9999999999982,431.06524169700043,94099.986555794,9502.899669999997,0.20631454098870297,369.1099621559999,,,,,,
