method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,500,500,500,319,1.0,0.638,217.69626509260007,253.50428971978258,25.667275099997823,30.62689851968694,217.8480569365999,0.06488487719992009,42598.67,1.2375534612072439,1.7138187953494357,0.0,16515.087353800587,19692.0214168697,1841.2820349938495,4454.753628804199,4502.8379342312155,1268.000001,456.70767536160014,2163.5860000660027,266.47999989300035,0.13004858906126854,22.04000003899968,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,linear_off,500,500,500,308,1.0,0.616,223.40744284319996,255.71317614385396,31.52458204999857,37.856427267070124,223.56193678619988,0.06904932139989814,35630.55,1.311876989215572,1.6851930407148323,0.0,17123.906310882885,19910.47104294707,2418.0006520949455,2040.2019953359872,1340.3611161337553,1234.9999957651376,476.4402586854001,77076.32987869858,9454.48287343623,0.1342915657159359,60.18040644399408,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,stage2_off,500,500,500,319,1.0,0.638,240.28030561380004,281.57841509997144,27.48248115000024,32.10646474146531,240.4175610204001,0.06065155619986035,44715.956,1.237476727503518,1.7137822416126522,0.0,18225.930915343397,21866.698053107135,1948.7761030728711,4454.8296278058,4502.77117197929,1268.0,457.5952687748,93788.6497142732,9495.999651999999,0.21567593671480587,370.40796206219994,,,,,,
