method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,100,100,100,67,1.0,0.67,209.34482822900063,249.34531886403167,31.990592899997864,29.539730563021852,209.49466817999985,0.07298622399977944,34985.41,1.1167012270472296,1.6064463226289658,0.0,16242.529287814687,19358.73337518876,1714.5684238323502,4247.149654020998,4435.522400787841,1235.000001,427.2189423340007,2217.9249998600076,279.024999885001,0.13407859822234766,19.900000105,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,linear_off,100,100,100,60,1.0,0.6,226.88807506199976,258.7357664590517,31.52458204999857,36.81572580470132,227.03328089499982,0.0812419679993036,42325.83,1.3800697437198255,1.7080883058963197,0.0,17255.98257947169,20385.216209001635,1920.1679604977423,2064.3999950331727,1363.1420654929386,1234.9999957701095,490.5428119989998,79098.97583826937,9457.600317219585,0.13531694537800776,60.57753329067222,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,stage2_off,100,100,100,67,1.0,0.67,228.54718337200015,275.64164836363705,32.075249300001815,30.27431002116744,228.67244177200013,0.06958167400000093,38136.17,1.1164308701408543,1.6060382106160895,0.0,17719.739814175744,21390.146483357996,1714.4210153535103,4247.149653021,4435.522400787841,1235.0,426.64613495500004,94578.666460579,9502.899669999997,0.22708080815520146,367.31996155400026,,,,,,
