method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1140.2023201444454,0.9210284571548167,1140.298882600002,1140.201989620885,1140.9224288666665,0.0,44215.88888888889,1.475713352185979,0.8305335889889056,1.5374032211631274,67820.43365708696,21385.433654567154,74792.90537111656,9176.658935872045,2734.250427492349,10514.9989495,2400.0,11617.444445111112,710.1666666666667,0.5294924236695895,160.66666644444402,1.0001154253732825,0.0004986749009050386,1.000036440298371,0.9998427832424653,1.0004507621292495,1.0436369671848331
hem,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3512850222264,0.7775038510497392,1140.3200878000061,1140.3510260148685,1141.1613822444435,0.09378495999990263,39141.57777777778,1.6278501897913809,0.8686029335653012,1.5873521034694884,71594.91648391608,19312.272493207074,80670.82881163829,9422.703380302897,2243.9668227253505,10514.9989495,2400.0,11909.133333644444,755.1888888888889,0.5612875699437386,247.51111100000006,0.9999848690785909,0.000733608949134544,1.0000228020387925,0.9997902507139952,1.0002299417424618,1.2838248233607876
hem_beam,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3532202199979,0.6848982931840918,1140.2839609999792,1140.3530193760264,1141.174904255555,0.08113508000171553,38354.4,1.6639087310494216,0.8417596349016845,1.5873521034694884,72525.92698579248,18223.829555827393,80298.19919758025,9558.058935845582,2115.6272345710618,10514.9989495,2400.0,11966.355555822225,756.9888888888889,0.5595417563770694,245.91111102222231,0.9999829214113278,0.0003592623824497362,1.0000207632907316,0.9998792621345157,1.000084901383189,1.2896148840495476
hem_structure,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3527740555535,0.8166675606194216,1140.2513345999905,1140.3524883324335,1141.1718095511096,0.07418150666719359,35461.26666666667,1.5768812735208937,0.7999752770319745,1.5860794265863258,71000.78996713902,18258.10352358795,75608.23585142776,9379.925602525596,2345.9633428014336,10514.9989495,2400.0,11784.555556222222,733.5444444444445,0.5521661426624822,259.62222204444424,0.9999834298450268,0.0004652661384303009,1.000031202208671,0.9998515436424944,1.0001225306131207,1.3610277878374464
proposed,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3313377266686,0.8731177427110568,1140.3500543999835,1140.33101099616,1141.1185010777751,0.07732289999926757,35526.333333333336,1.5763145775518177,0.8008327552596483,1.5860794265863258,71241.12900075957,18545.811427466026,75608.15976963984,9378.636713636708,2349.195533813924,10514.9989495,2400.0,11782.911111777777,733.5444444444445,0.5523851477543643,260.9111109333331,1.0000023084324225,0.000554806139825522,1.0000108726640486,0.9998493518265532,1.000175843910875,1.3794361252242548
rdmct_feature_only,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.432140746668,0.7258682841080947,1140.3543784000212,1140.4319151487502,1141.230975788887,0.050447326667846126,36308.8,1.7588219500942206,0.8138819910674937,1.6143706982844357,75135.75981794455,15727.379882739848,81028.5083528746,9838.681158041822,1767.7290923071812,10514.9989495,2400.0,12073.666666844445,771.6777777777778,0.5633904962850864,247.2444444000001,0.9999137444396047,0.00036609894908993466,0.9999982974404933,0.9997983674308205,1.0000220533830984,1.3625094279773737
scip_default,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1140.3336278222214,0.6331908530717387,1140.3614930000003,1140.3334717510907,1141.0401741111102,0.0,43745.666666666664,1.802930359047422,0.8500316192112479,1.6156713802238807,74491.57705737853,15658.487319884907,79900.53867279281,9990.436713584271,1573.687495933821,10514.9989495,2400.0,12158.666666666666,780.1666666666667,0.5671876792852389,239.1111111111113,1.0,0.0,1.0,1.0,1.0,1.0
