method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
hem,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,20,20,20,13,1.0,0.65,200.06186718000026,256.7570141971613,27.9870581999985,27.783294032108824,200.21333203500052,0.04536135499947704,33474.0,1.1979933977058383,1.682322577335394,0.0,15333.554858953425,20062.784131543176,2250.128190193929,4414.149633014999,4604.851153465996,1235.000001,431.14493576000024,2155.9250005500057,253.84999987499995,0.12407128633933831,23.199999999999893,,,,,,
hem_beam,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,20,20,20,13,1.0,0.65,200.18823965000047,256.6144373369094,29.779730699998254,27.91212877637985,200.32990386999936,0.0543037950001235,33419.65,1.1979933977058383,1.682322577335394,0.0,15359.908557868452,20044.866656157104,2426.060234919144,4414.149633014999,4604.851153465996,1235.000001,431.2872346300002,2155.9250005500057,253.84999987499995,0.12407128633933831,23.199999999999893,,,,,,
hem_structure,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,20,20,20,12,1.0,0.6,221.6711662349995,266.6631374102451,26.368446399997993,29.809507857249837,221.8313976199992,0.03535140499952831,32531.55,1.3823936102989274,1.7457008750263092,0.0,17227.529765090985,20796.503529193058,1376.8314238949408,4826.399580439998,4768.936840146992,1235.000001,485.76953018000006,2184.1000000500085,261.4249998750012,0.14114805452552426,19.900000049998823,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,20,20,20,12,1.0,0.6,221.6434814600014,266.70812171607633,26.23678925000422,29.874061186022306,221.80058154000017,0.05584365499998967,32678.5,1.3823936102989274,1.7457008750263092,0.0,17215.371022267074,20805.666186107457,1291.2744254203458,4826.399580439998,4768.936840146992,1235.000001,485.7292140750002,2181.7999998500086,261.42499982500124,0.14114805452552426,19.900000049998823,,,,,,
rdmct_feature_only,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,20,20,20,14,1.0,0.7,203.14181852499988,249.7844481528497,25.984186599998793,28.49748381492288,203.2920973299997,0.05433576999930665,36563.8,1.0101456555613444,1.589170454299022,0.0,14955.405103811423,19417.656458528916,1413.260096072178,4000.6996855899997,4394.674540549956,1235.000001,401.21563933500056,2154.100000250004,257.69999987500086,0.1253947555548241,23.19999999999994,,,,,,
