method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,80,80,80,51,1.0,0.6375,216.76551948375018,253.71973625038385,28.496146900000895,31.931064361374716,216.92246956249966,0.05486091500006296,38262.95,1.1991321241435773,1.6490312879937328,0.0,16243.398453339067,19689.466148735348,2071.1277371319748,4417.124633005,4515.406621669679,1235.000001,456.09919010375023,2191.9125001125003,266.69999987500006,0.12980615288249106,21.70000001874995,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,linear_off,80,80,80,48,1.0,0.6,226.15098930625027,259.33588769456907,39.60675645000447,38.874843051647275,226.30806986750022,0.06643538874972243,29163.9,1.389699504833039,1.7208189953998798,0.0,17687.50998786313,20139.987463216075,3447.626040297132,2064.3999955349773,1364.8664710475666,1234.9999980862904,489.7194226000005,76499.80027452875,9502.899999982583,0.13784585834924581,60.35964876004283,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,stage2_off,80,80,80,50,1.0,0.625,241.82743712999954,283.2798614736696,29.33103140000094,34.01213024715006,241.98233670124984,0.05559965624988763,38544.6,1.2465788233609385,1.6683640687689052,0.0,18153.918481142948,22007.112498029306,2249.654420771529,4520.66211887125,4559.233269451317,1235.0,466.97195448124984,93097.82166614124,9502.899637499999,0.21689578219391406,371.9749621125007,,,,,,
