method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1140.1738549444449,0.9157840351461871,1140.1833001000014,1140.1735281839287,1140.8765161777778,0.0,42791.77777777778,1.561267609560719,0.8569658307447248,1.5822688969793715,70291.43278945363,17185.02837120984,74836.67141962114,9324.547941528714,2383.534730927773,10514.9989495,2400.0,11533.888888222229,780.166666555557,0.5555308009596985,450.2222220000027,0.9999981493644555,0.0005778270117273769,0.9998951125615788,0.999697082894407,1.0003936466270582,1.0097351756549715
hem,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3257810466616,0.8234649819920572,1140.3240228000068,1140.3254905381787,1141.162039311114,0.07965095333226802,35192.37777777778,1.5666681089226204,0.8202609040762266,1.546621203317995,71690.11812577989,17148.715318876584,75626.7807872348,9324.547941528714,2272.611196107188,10514.9989495,2400.0,11354.66666655555,780.1666666666666,0.5555308010006312,450.22222211111097,0.9998649798694599,0.0007023643033187827,0.999950387964005,0.9996827198043714,1.0000906203695303,1.2506535591828571
hem_beam,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3664641377782,0.6774241695191123,1140.2589239999943,1140.3662676700758,1141.1657233711103,0.07517348888923152,35522.77777777778,1.5650289437572107,0.8172690938445316,1.546621203317995,71494.41295211104,17198.74219751032,75501.55582680795,9324.547941528714,2272.611196107188,10514.9989495,2400.0,11354.66666655555,780.1666666666666,0.5555308010006312,450.22222211111097,0.9998290655592673,0.0004036662626840001,0.9999577542449801,0.9997087201788704,0.9999419241828232,1.2280710844553329
hem_structure,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3871647422188,0.8038133887343427,1140.3447860999731,1140.3868879418485,1141.1725721088915,0.07185403111237368,36152.28888888889,1.6997492482832048,0.8042849411068197,1.6156713802238785,73907.55389426457,15434.011006034028,80070.80022096494,9724.458982539823,1876.5771410819161,10514.9989495,2400.0,11841.977777777773,780.1666666666666,0.5616943372759765,324.5666665999999,0.9998110333162751,0.0005079017925136228,0.9999708101008027,0.999665807624526,0.9999571612764397,1.1432865592313908
proposed,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.3219732844414,0.8575902608887112,1140.3411900000028,1140.321658076531,1141.1084444355552,0.09483572666312183,35232.91111111111,1.7446549104811604,0.7921875200050085,1.6156713802238785,74898.07001991672,15542.54348144303,80769.8492685208,9857.636736950933,1703.6663510151723,10514.9989495,2400.0,12018.511111177773,780.1666666666666,0.5636901723424902,282.34444439999993,0.9998682507314195,0.0005564993159253174,0.9999101425074314,0.9997194594005059,1.0000418313126063,1.1983807083598719
rdmct_feature_only,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,45,0,1.0,0.0,1140.39842128889,0.688827147737471,1140.3157369999826,1140.3982181147667,1141.1848483311105,0.05725359777772812,36960.177777777775,1.561502353777305,0.8145971640218673,1.5089474942734433,71756.06091460695,16957.196802756076,75463.32472455403,9324.582830417601,2272.5358030540356,10514.9989495,2400.0,11381.49199995555,780.1666666666666,0.5555101115732073,450.18733322222204,0.9998010468248272,0.00038652871923595364,0.9999311428102156,0.9996893990680459,0.9999072498419017,1.1468871258765196
scip_default,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1140.1713912666671,0.6047456221948577,1140.2387217999967,1140.171248883629,1140.931388188888,0.0,40280.11111111111,1.5562795796238342,0.8545594907080387,1.5017841895074948,72201.89630436542,15094.990114235547,74833.79933212692,9324.547941528715,2383.53473092777,10514.9989495,2400.0,11306.555554999994,780.1666666666666,0.5555308010006311,450.222222111111,1.0,0.0,1.0,1.0,1.0,1.0
