method,suite,family,scale,split,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,20,20,20,13,1.0,0.65,231.35,284.228276492496,30.0,26.94603439825256,231.52555859000003,0.0,77762.7,0.2643521683592189,0.6982064711355679,0.0,7612.512767300219,12279.52870943938,1380.6836880166059,2218.3566124250037,2146.738436783248,1235.0,441.35,95361.69468014118,9502.9,0.17801381935033694,79.05922928429376,1.1456319638259664,0.4764145233501296,1.0,0.9339066441660717,1.4027475038402453,1.0488535891758217
hem,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,100,100,100,70,1.0,0.7,225.25,267.71013175908126,24.0,27.748614962839106,225.34174374800023,0.0525661660003459,68656.93,0.26683150699499825,0.6903083382179688,0.0,7705.681949271738,12273.105227758897,1082.4725876010782,2209.7790686787184,2097.887766188063,1268.0,405.25,95605.05060395053,9480.78,0.1655363567652233,36.38922928429365,1.174794221483806,0.7183993549450052,1.0,1.0125480055375529,1.3368387982613048,1.2814422281594542
hem_beam,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,100,100,100,69,1.0,0.69,228.86,269.0247639834736,24.0,29.198128936836156,228.87432528699918,0.06187598699996102,70475.03,0.2670214980579782,0.6903102853338903,0.0,7793.446990977295,12249.190326099622,1190.783459119497,2209.9490686787185,2097.893384197002,1268.0,414.86,95593.68060395053,9480.78,0.16213650554663836,36.11922928429368,1.0819826690390524,0.6727972121798005,1.0,0.9378842894064355,1.2356552709271034,1.2586300935421832
hem_structure,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,100,100,100,75,1.0,0.75,218.21,259.6726881085012,11.0,26.04026642037686,218.31273583700013,0.04016365499995061,61680.08,0.25691765826714497,0.6907638892346186,0.0,7494.559584540733,12151.320569312731,552.8998778998779,2195.006612425004,2100.104903936968,1235.0,368.21,95472.93468014119,9475.25,0.1499844191920339,33.99922928429377,1.3883696158257466,1.2431699047155678,1.0,1.1166927720900497,1.6646793552248618,1.7369020362986958
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,100,100,100,75,1.0,0.75,217.95,259.61838252607333,11.0,26.20541952590072,218.01147746400042,0.05578829100009784,61215.3,0.25691765826714497,0.6907638892346186,0.0,7492.519499481763,12161.540525223942,552.8998778998779,2195.006612425004,2100.104903936968,1235.0,367.95,95472.93468014119,9475.25,0.1499844191920339,33.99922928429377,1.3851116051961778,1.2171118718960319,1.0,1.1272668057867172,1.6631977275526095,1.7422616076031974
rdmct_feature_only,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,100,100,100,72,1.0,0.72,222.08,271.6503129489317,26.0,28.17852327700247,222.096844297001,0.04499430200080497,62226.55,0.23431761282718055,0.680807040970063,0.0,7341.226509326548,11858.36562900875,1142.23,2147.7707688429878,2072.300619313521,1235.0,390.08,95735.86228290912,9497.37,0.14448107282624814,37.3459897468225,1.079217253599617,0.6159109047181149,1.0,0.9533405979203967,1.2179355853121612,1.1882176388127608
scip_default,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,20,20,20,13,1.0,0.65,234.35,285.68316550443,30.0,29.146233977284357,234.36914580500002,0.0,72104.05,0.25256614024981994,0.7017880224403298,0.0,7574.758809541241,12326.876969532148,1373.225516621743,2187.7566124250034,2137.8105585030744,1235.0,444.35,96166.22068014118,9502.9,0.1727230870380087,50.95922928429377,1.0,0.0,1.0,1.0,1.0,1.0
