method,suite,family,scale,split,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,9,9,9,0,1.0,0.0,1200.0,0.0,1200.0,1200.0,1200.19162988889,0.0,42499.77777777778,0.9226045227181631,0.7470509924363007,0.5250232335183621,57292.17115122276,23553.532568740844,47592.415377306126,7141.3415647539705,2592.033841634133,6779.0,2400.0,199194.86452767957,9165.444444444445,0.6593225865043292,1329.4396844971552,1.0,0.0,1.0,1.0,1.0,0.9733275735853224
hem,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,45,45,45,0,1.0,0.0,1200.0,0.0,1200.0,1200.0000000000011,1199.9109997911157,0.12755785332919914,46422.933333333334,0.9306247783541018,0.7081658527671487,0.5260412730600967,57680.966266350995,23212.669599066176,46675.47510513651,7140.563786976193,2473.6507485458083,6779.0,2400.0,199264.71408323513,9165.444444444445,0.6636178477844795,1325.5507956082665,1.0,0.0,1.0,1.0,1.0,0.9567049577965002
hem_beam,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,45,45,45,0,1.0,0.0,1200.0,0.0,1200.0,1200.0000000000011,1200.1389587466656,0.09472491555174606,46619.044444444444,0.9340642180170337,0.7036465910257745,0.5260412730600967,57490.91136392681,22803.310029351942,45668.88908796997,7152.319342531749,2454.700976784901,6779.0,2400.0,199286.06963879068,9165.444444444445,0.6694930861628189,1342.3730178304886,1.0,0.0,1.0,1.0,1.0,0.9330751220026976
hem_structure,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,45,45,45,0,1.0,0.0,1200.0,0.0,1200.0,1200.0000000000011,1548.3056779733322,0.14526036444537263,48102.57777777778,0.9297290070019524,0.705047447824198,0.5270606727080994,57778.26315440215,23453.090733589037,45963.13541711623,7148.852675865082,2459.8543554157036,6779.0,2400.0,199292.43786101288,9165.444444444445,0.6699394909153468,1330.395240052711,1.0,0.0,1.0,1.0,1.0,0.9520437680725516
proposed,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,45,45,45,0,1.0,0.0,1200.0,0.0,1200.0,1200.0000000000011,1200.1681420288942,0.08818682889169496,48524.46666666667,0.9293821989651815,0.7046149614853088,0.5270606727080994,57582.145848960696,23197.79023748248,46028.292617333784,7148.852675865082,2459.8543554157036,6779.0,2400.0,199292.43786101288,9165.444444444445,0.6699394909153468,1330.395240052711,1.0,0.0,1.0,1.0,1.0,0.9453598207829431
rdmct_feature_only,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,45,45,45,0,1.0,0.0,1200.0,0.0,1200.0,1200.0000000000011,1200.054093784443,0.09486375999695155,46298.42222222222,0.9329568055106181,0.6920697664104649,0.5270606727080994,57919.64091788115,22900.95281874791,46552.50173439378,7159.63045364286,2443.538578280219,6779.0,2400.0,199260.84674990177,9165.444444444445,0.6703491398125443,1342.506351163822,1.0,0.0,1.0,1.0,1.0,0.9531845150145438
scip_default,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,9,9,9,0,1.0,0.0,1200.0,0.0,1200.0,1200.0,1200.1099939000005,0.0,38923.666666666664,0.9310166648564961,0.7397051447806029,0.5373300787115164,57513.41472043664,22914.336885033532,48014.11085236299,7159.897120309526,2562.2896896381367,6779.0,2400.0,199369.64230545735,9165.444444444445,0.6730893063354071,1342.8841289415998,1.0,0.0,1.0,1.0,1.0,1.0
