method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,60,60,60,36,1.0,0.6,233.35268168166658,260.7561519365179,24.15626534999683,33.18185139184085,233.51211588000018,0.05024260666602155,69998.6,1.5238488465124354,2.046709299628958,0.0,17671.996804549697,20544.90765963539,2057.1135726472344,4861.732913799998,4663.01393501583,1268.000001,497.46124384833337,2106.9666668166674,257.74166654166663,0.12562843913733798,22.10000001666662,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,linear_off,60,60,60,36,1.0,0.6,229.42963090999936,258.0865468185603,56.4992107500002,43.00854176184865,229.6080124833318,0.055374023333327686,30578.6,1.3838745298739492,1.7174764105791385,0.0,17853.549866761135,20143.59408015445,3768.822902769489,2064.3999953762313,1367.755080479641,1234.9999975800413,492.8624595066668,75869.56316203812,9339.127383308984,0.1381644933559242,60.114383618941446,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,stage2_off,60,60,60,36,1.0,0.6,257.36398518333345,289.45593717369127,23.715115800001513,34.94116127126293,257.50657252166724,0.04999182833331967,76703.58333333333,1.5235910064755471,2.0464539990808834,0.0,19556.536994806975,22864.695063850653,2057.2990220238394,4861.732912799999,4663.01393501583,1268.0,497.5475677533332,93082.03905533832,9464.566299999997,0.20940146545956229,370.33329577499916,,,,,,
