method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
hem,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,40,40,40,26,1.0,0.65,215.38351422250062,257.302132702114,25.24378064999837,29.32847903617277,215.53885807249972,0.03212202000042623,32332.95,1.1953596070039656,1.6574529546110306,0.0,16818.20810412445,20005.603640323086,2192.4751626335,4413.549633015001,4545.723090809042,1235.000001,446.5160776900002,2235.6874999750107,274.23749992499995,0.1483840477370874,21.549999999998438,,,,,,
hem_beam,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,40,40,40,26,1.0,0.65,218.34033079250008,259.53118758333056,25.172245400000975,29.78441338325496,218.49453643250064,0.04080743249956527,33035.45,1.1953596070039656,1.6574529546110306,0.0,17050.16834941415,20160.35273755428,2197.353820879179,4413.549633015001,4545.723090809042,1235.000001,449.4333292500004,2235.6874999750107,274.23749992499995,0.1483840477370874,21.549999999998438,,,,,,
hem_structure,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,40,40,40,26,1.0,0.65,211.5920161874993,255.8424633612262,20.232564350000757,27.735775177148938,211.74667861749987,0.052682257500665484,33603.8,1.1030262341517933,1.610678474727757,0.0,15685.89080901537,19431.944943743572,1118.483252380472,4212.3746592825,4446.172156875552,1235.000001,442.69315289249954,2175.0374999250052,270.8624999000009,0.12969977113366504,23.50000005000002,,,,,,
proposed,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,40,40,40,26,1.0,0.65,211.6265390725,255.9768199264386,20.11854510000194,27.584986315846166,211.78045148499982,0.03735470500013207,33630.3,1.1030262341517933,1.610678474727757,0.0,15681.405538985617,19450.88946729412,1106.1253359964123,4212.3746592825,4446.172156875552,1235.000001,442.7290355250003,2175.0374999250052,270.8624999000009,0.12969977113366504,23.50000005000002,,,,,,
rdmct_feature_only,cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,full,40,40,40,26,1.0,0.65,215.75624175249942,257.5581048026827,25.202599199998076,29.56813970918889,215.9078385174999,0.03492191749977565,32505.25,1.1953596070039656,1.6574529546110306,0.0,16846.921526910988,20010.363067333707,2119.3837193083154,4413.549633015001,4545.723090809042,1235.000001,446.84036750749965,2231.162499900011,273.999999925,0.14410537613118157,21.549999999998445,,,,,,
