al_utilization,atr_utilization,ch2_utilization,ch3_utilization,clean_count,clean_time_share,cmax,gap,instance,lllower_capacity_utilization,llupper_capacity_utilization,mean_cycle_time,method,p95_cycle_time,path,pdi,pec_peak_in_tool,physical_cadence_cv,physical_cadence_deviation_sum,physical_route_max_wait,physical_route_total_wait,physically_feasible,run_label,solution_file,solver_seed,solving_time,status,suite,throughput_wph,total_wafers,training_seed,validation_note,vtr_utilization,warm_start
0.18018017997727787,0.3648648644539873,0.6689189181656433,0.22297297272188105,0,0.0,888.000000999985,0.0,cie_core_n008_f006_m002_proc110.lp,0.13851351335753218,0.14301801785696297,437.49999999999983,scip_default,550.999999999999,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f006_m002_proc110.lp,91.7578748777005,6,0.0,0,76.0,583.9999999999983,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n008_f006_m002_proc110__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,0.5206043999999963,optimal,cie_core_spbs,32.43243239590997,8,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.04954954949375173,auto
0.3059273419637409,0.6195028674765757,0.7743785843457182,0.7743785843457182,0,0.0,1046.000001,0.0,cie_core_n016_f000_m016_proc090.lp,0.22944550551678253,0.25956023063139494,480.9375000624999,scip_default,487.4999995000004,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc090.lp,4604.676595362898,4,1.99072089755359e-15,1.0231815394945443e-12,28.000000000000412,591.0000009999983,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f000_m016_proc090__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,51.95452689999999,optimal,cie_core_spbs,55.0669215534733,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.045889101294560974,auto
0.2816901405971035,0.5704225347091348,0.7922535204293543,0.7922535204293543,0,0.0,1136.000001,0.0,cie_core_n016_f000_m016_proc100.lp,0.22491197031257662,0.23547535410609657,518.374999875,scip_default,532.4999995,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,412.9976830024427,4,1.7973853982215324e-09,1.9999999949504854e-06,28.0,614.0000019999997,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f000_m016_proc100__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,11.09703060000001,optimal,cie_core_spbs,50.70422530747867,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.04225352108956556,auto
0.2610114190366952,0.528548123549308,0.8075040776447765,0.8075040776447764,0,0.0,1226.000001,0.0,cie_core_n016_f000_m016_proc110.lp,0.21574224982402673,0.2255301813005471,556.625000125,scip_default,577.4999995,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc110.lp,4297.819102337358,4,0.0,0.0,33.49999950000006,650.0000019999997,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f000_m016_proc110__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,132.45261959999996,optimal,cie_core_spbs,46.98205542660517,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.03915171285550431,auto
0.28776978391387625,0.5827338124255991,0.7284172655319989,0.5827338124255991,0,0.0,1112.000001,0.0,cie_core_n016_f004_m012_proc090.lp,0.28417266071567204,0.2508992830477524,466.625000375,scip_default,539.0,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc090.lp,1334.0469482275932,4,0.0,0.0,98.999999,1026.0000060000002,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f004_m012_proc090__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,56.22475749999995,optimal,cie_core_spbs,51.79856110449769,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.05035971218492852,auto
0.26622296150896607,0.5391014970556561,0.7487520792439658,0.5990016633951725,0,0.0,1202.000001,0.0,cie_core_n016_f004_m012_proc100.lp,0.3410981694333617,0.2520798666788023,512.8749999999997,scip_default,659.0000000000002,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,5417.255094950026,4,0.0,0.0,201.0,1262.0000000000002,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f004_m012_proc100__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,61.50795169999998,optimal,cie_core_spbs,47.92013307161386,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.04658901826406903,auto
0.2476780183841503,0.501547987227904,0.7662538693759646,0.6130030955007716,0,0.0,1292.000001,0.0,cie_core_n016_f004_m012_proc110.lp,0.24458204238035444,0.27167182873709605,538.625000375,scip_default,596.0000010000001,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc110.lp,6072.520659426025,4,2.0974545981231085e-16,1.1368683772161603e-13,98.999999,1170.0000060000002,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f004_m012_proc110__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,300.4835939000001,optimal,cie_core_spbs,44.582043309147025,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.04334365321722645,auto
0.29143897969814275,0.5901639338887396,0.5901639338887397,0.5901639338887396,0,0.0,1098.000001,0.0,cie_core_n016_f008_m008_proc090.lp,0.27231329574470553,0.297814210111281,446.50000024999997,scip_default,539.0,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc090.lp,2369.4480445846325,4,0.0,0.0,98.999999,1368.0000039999998,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f008_m008_proc090__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,28.443446100000074,optimal,cie_core_spbs,52.45901634566574,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.058287795939628594,auto
0.27350427327050897,0.553846153372781,0.6153846148586447,0.6153846148586457,0,0.0,1170.000001,0.0,cie_core_n016_f008_m008_proc100.lp,0.2555555544824311,0.28205128351961406,473.1250002500001,scip_default,557.000000000001,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc100.lp,3895.7822950614586,4,2.407883711645503e-15,1.0231815394945443e-12,98.999999,1362.0000040000018,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f008_m008_proc100__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,51.950321200000076,optimal,cie_core_spbs,49.230769188691646,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.05470085465410183,auto
0.25764895309368074,0.5217391300147027,0.637681158906859,0.637681158906859,0,0.0,1242.000001,0.0,cie_core_n016_f008_m008_proc110.lp,0.19645732673393046,0.2624798709641869,497.12499999999994,scip_default,609.0,D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f008_m008_proc110.lp,576.6570000498988,4,0.012224938875305624,0.0,84.0,1294.0000000000005,True,spbs_auto,D:\git\git\RDMCT-A3C\cie\results\spbs\cie_spbs_600s_mem2048_repro_v1\s10_auto\solutions\cie_core_spbs__cie_core_n016_f008_m008_proc110__scip_default__solverseed_10__trainseed_-1__spbs_auto.sol,10,54.75695689999998,optimal,cie_core_spbs,46.376811556862464,16,-1,checked active primary model at feasibility tolerance 1.000001e-06; removed 13 inactive auxiliaries,0.05152979061873644,auto
