method,suite,family,scale,split,stability_profile,runs,completed,with_incumbent,optimal,incumbent_rate,optimal_rate,mean_time,std_time,median_time,shifted_geomean_time,mean_end_to_end_time,mean_cutsel_callback_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_best_objective,std_best_objective,median_best_objective,mean_par2_time,mean_schedule_total_wait,mean_schedule_max_wait,mean_schedule_cadence_cv,mean_schedule_cadence_deviation_sum,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1200.0,0.0,1200.0,1200.0,1199.9393448111116,0.0,56708.333333333336,0.9220801389737725,0.7466061027518693,0.5250232335183621,55559.04904097448,23444.36571747207,45023.20070004705,7141.3415647539705,2592.033841634133,6779.0,2400.0,199194.86452767957,9165.444444444445,0.6593225865043292,1329.4396844971552,1.0,0.0,1.0,1.0,1.0,0.9816237453236266
hem,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,9,0,0.2,0.0,1175.825709524445,29.948623623543657,1200.0,1175.4504606441665,1175.9740496355557,0.07965737111079155,43083.26666666667,0.9320327371610797,0.7187548783451624,0.5566971924031494,56812.13791900838,22438.484816265463,47651.73270761496,7156.23045364286,2568.098928170107,6779.0,2400.0,199329.42008323513,9165.444444444445,0.6680465526886943,1344.7730178304887,1.0212139466266887,0.02628184687393001,1.0,1.0140742568771277,1.0284078610974308,1.2840293333882806
hem_beam,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,9,0,0.2,0.0,1175.9245912844442,29.819728568153447,1200.0,1175.5526173945289,1176.0134492355548,0.0758772266674997,43082.53333333333,0.931288617195579,0.7193129672765173,0.5641531488498288,56440.77173768513,22625.225009698068,47713.04040557058,7156.23045364286,2568.098928170107,6779.0,2400.0,199329.42008323513,9165.444444444445,0.6680465526886943,1344.7730178304887,1.0211222870679053,0.026162030266739095,1.0,1.0140612861377445,1.028180310252077,1.272440485257463
hem_structure,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,9,0,0.2,0.0,1175.901481077778,29.84860608508357,1200.0,1175.5287760922367,1176.0464122022222,0.05907094666702619,41462.51111111111,0.9296990491947318,0.7379230006917575,0.5270606727080994,55863.08619356537,22957.783429714116,44212.13682006474,7156.23045364286,2568.098928170107,6779.0,2400.0,199231.53119434623,9165.444444444445,0.6683255346700867,1344.8841289415998,1.021143646288749,0.026188732232658413,1.0,1.0140728964304282,1.0282101492215956,1.3293617318372246
proposed,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,9,0,0.2,0.0,1175.924370346667,29.82001594497265,1200.0,1175.5523891728724,1176.0663244733335,0.11743782666659779,41676.71111111111,0.9296990491947318,0.7379230006917575,0.5270606727080994,55966.01273752581,22938.340784032036,44611.041491957236,7156.23045364286,2568.098928170107,6779.0,2400.0,199231.53119434623,9165.444444444445,0.6683255346700867,1344.8841289415998,1.0211224917897979,0.02616229718660629,1.0,1.0140642298660796,1.0281830225478394,1.30287678767388
rdmct_feature_only,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,45,45,9,0,0.2,0.0,1175.9280063066674,29.81549535661984,1200.0,1175.5561394914998,1176.0184954911115,0.06549857110972476,42015.444444444445,0.9295105791321787,0.7188847050560206,0.5240065513626833,56346.60040158161,22562.762171280974,46811.600154266045,7159.897120309526,2562.2896896381367,6779.0,2400.0,199364.9978610129,9165.444444444445,0.6669556072771488,1346.106351163822,1.0211191325857478,0.02615811983393118,1.0,1.014060804256036,1.0281752810297395,1.3182528022494266
scip_default,cie_ood,dual_source_cluster_tool,40_to_64_wafers,test,full,9,9,9,0,1.0,0.0,1200.0,0.0,1200.0,1200.0,1200.2027270666679,0.0,54600.333333333336,0.928256619434971,0.7417354163177228,0.5291035632401504,55977.60613367708,22947.260012101728,45337.4819386929,7156.0082314206375,2568.452095044741,6779.0,2400.0,199284.97563879067,9165.444444444445,0.6688592968205729,1350.8841289415998,1.0,0.0,1.0,1.0,1.0,1.0
